TOTAL;2023;2024;;;;;;;;;;;;
Nombre de voyages; 24 891 573 ; 26 992 719 ;;;;;;;;;;;;
Distance moyenne en km; 62 ; 63 ;;;;;;;;;;;;
Distance totale annuelle en km; 1 543 277 526 ; 1 700 541 297 ;;;;;;;;;;;;
;;;;;;;;;;;;;;
Jeunes;2023;2024;;;;;;;;;;;;
Nombre de voyages; 8 241 046 ; 9 097 637 ;;;;;;;;;;;;
Distance moyenne en km; 64 ; 66 ;;;;;;;;;;;;
Distance totale annuelle en km; 527 426 944 ; 600 444 042 ;;;;;;;;;;;;
;;;;;;;;;;;;;;
Fréquents;2023;2024;;Fréquents Tout Public;2023;2024;;Fréquents  Jeunes;2023;2024;;;;
Nombre de voyages; 9 830 515 ; 9 155 030 ;;Nombre de voyages; 6 253 117 ; 5 341 797 ;;Nombre de voyages; 3 577 398 ; 3 813 233 ;;;;
Distance moyenne en km; 43 ; 41 ;;Distance moyenne en km; 46 ; 42 ;;Distance moyenne en km; 39 ; 39 ;;;;
Distance totale annuelle en km; 422 712 145 ; 375 356 230 ;;Distance totale annuelle en km; 287 643 382 ; 224 355 474 ;;Distance totale annuelle en km; 139 518 522 ; 148 716 087 ;;;;
;;;;;;;;;;;;;;
Occasionnels;2023;2024;;Occasionnels Tout public;2023;2024;;Occasionnels Tout public;2023;2024;;;;
Nombre de voyages; 13 508 564 ; 14 587 668 ;;Nombre de voyages; 8 812 353 ; 9 299 212 ;;Nombre de voyages; 4 663 647 ; 5 284 404 ;;;;
Distance moyenne en km; 78 ; 80 ;;Distance moyenne en km; 75 ; 77 ;;Distance moyenne en km; 82 ; 85 ;;;;
Distance totale annuelle en km; 1 053 667 992 ; 1 167 013 440 ;;Distance totale annuelle en km; 660 926 475 ; 716 039 324 ;;Distance totale annuelle en km; 382 419 054 ; 449 174 340 ;;;;
;;;;;;;;;;;;;;
+=;2023;2024;;+=0;2023;2024;;+=Flex;2023;2024;;+=-;2023;2024
Nombre de voyages; 1 552 494 ; 3 250 021 ;;Nombre de voyages; 1 359 050 ; 2 289 521 ;;Nombre de voyages; 186 405 ; 919 552 ;;Nombre de voyages; 7 039 ; 40 948 
Distance moyenne en km; 44 ; 44 ;;Distance moyenne en km; 40 ; 40 ;;Distance moyenne en km; 45 ; 43 ;;Distance moyenne en km; 47 ; 46 
Distance totale annuelle en km; 68 309 736 ; 143 000 924 ;;Distance totale annuelle en km; 54 362 000 ; 91 580 840 ;;Distance totale annuelle en km; 8 388 225 ; 39 540 736 ;;Distance totale annuelle en km; 330 833 ; 1 883 608 
;;;;;;;;;;;;;;
WE 1€;2023;2024;;;;;;;;;;;;
Nombre de voyages; 707 381 ; 847 604 ;;;;;;;;;;;;
Distance moyenne en km; 62 ; 63 ;;;;;;;;;;;;
Distance totale annuelle en km; 43 857 622 ; 53 399 052 ;;;;;;;;;;;;
